customer_id,preference_id,valid_from,valid_to
1102,4,2024-12-20,
1104,8,2025-09-07,
1105,3,2025-10-22,
1106,6,2025-02-03,
1107,8,2025-01-04,
1107,3,2025-01-04,
1108,1,2025-09-30,
1110,1,2024-12-15,
1110,10,2024-12-15,
1111,9,2024-12-26,2026-01-12
1111,4,2026-01-12,
1111,6,2024-12-26,2026-01-12
1111,11,2026-01-12,
1111,5,2024-12-26,
1112,5,2025-08-20,2026-01-12
1112,8,2025-08-20,
1112,3,2025-08-20,
1113,10,2025-09-24,
1114,8,2024-12-21,
1114,6,2024-12-21,
1114,5,2024-12-21,2026-01-12
1114,4,2026-01-12,
1115,1,2025-06-21,
1115,7,2025-06-21,
1117,11,2025-11-08,
1117,3,2025-11-08,
1118,7,2025-02-20,
1118,3,2025-02-20,
1119,2,2025-08-26,
1121,9,2025-05-23,
1121,3,2025-05-23,
1122,6,2025-10-25,
1123,8,2025-07-26,2026-01-12
1123,2,2026-01-12,
1124,3,2024-12-10,
1125,10,2025-09-09,
1126,9,2025-06-17,
1127,1,2024-11-13,
1127,4,2024-11-13,
1129,3,2025-01-09,
1129,10,2025-01-09,
1130,8,2025-07-25,
1131,5,2024-12-07,
1131,11,2024-12-07,
1131,10,2024-12-07,
1132,3,2025-04-24,
1132,7,2025-04-24,2026-01-12
1132,2,2025-04-24,
1134,11,2024-12-09,
1134,6,2024-12-09,
1135,11,2025-07-07,
1135,7,2025-07-07,
1136,1,2024-12-10,
1136,7,2024-12-10,
1137,4,2025-10-25,
1138,5,2025-11-15,2026-01-12
1138,6,2025-11-15,2026-01-12
1138,2,2026-01-12,
1139,3,2025-04-07,
1140,3,2025-01-31,
1141,10,2025-05-12,
1142,5,2024-11-28,
1144,6,2025-07-06,2026-01-12
1144,1,2026-01-12,
1145,2,2025-04-26,
1146,3,2024-12-04,
1146,9,2024-12-04,
1146,8,2024-12-04,
1147,7,2025-04-06,
1147,5,2025-04-06,
1148,5,2025-01-28,
1150,1,2025-06-29,
1152,11,2025-08-30,
1153,11,2025-01-12,
1154,3,2025-03-14,
1156,8,2025-04-01,
1156,3,2025-04-01,2026-01-12
1156,5,2026-01-12,
1156,4,2025-04-01,2026-01-12
1156,2,2026-01-12,
1157,11,2025-11-11,
1158,6,2025-06-16,
1160,6,2025-11-02,
1161,9,2025-03-21,2026-01-12
1162,7,2024-11-23,
1164,6,2025-11-15,
1165,7,2025-08-02,
1166,4,2025-08-28,
1167,5,2025-03-19,
1168,7,2025-01-08,
1168,3,2025-01-08,
1168,10,2025-01-08,
1169,3,2025-10-25,
1170,10,2025-09-14,
1172,2,2025-05-02,
1172,1,2025-05-02,
1173,10,2024-10-31,
1173,9,2024-10-31,
1173,5,2024-10-31,
1174,1,2025-11-09,2026-01-12
1174,6,2025-11-09,
1174,3,2025-11-09,
1175,11,2025-02-21,
1176,1,2025-08-18,
1176,11,2025-08-18,
1176,9,2025-08-18,
1177,11,2024-11-21,
1177,8,2024-11-21,2026-01-12
1177,9,2026-01-12,
1179,11,2025-07-11,2026-01-12
1179,1,2026-01-12,
1180,7,2025-08-07,
1180,3,2025-08-07,2026-01-12
1180,9,2026-01-12,
1180,11,2025-08-07,
1181,3,2025-01-03,2026-01-12
1181,2,2026-01-12,
1181,6,2025-01-03,
1182,6,2024-12-31,
1183,9,2024-11-06,
1183,8,2024-11-06,
1183,7,2024-11-06,
1184,8,2025-07-06,
1184,11,2025-07-06,
1185,9,2025-09-01,
1186,3,2025-07-12,
1187,1,2025-10-27,
1188,5,2025-05-16,
1189,2,2025-07-26,
1189,11,2025-07-26,2026-01-12
1189,2,2026-01-12,
1189,8,2025-07-26,
1190,9,2025-03-06,
1190,7,2025-03-06,2026-01-12
1190,5,2026-01-12,
1191,4,2025-07-01,2026-01-12
1192,3,2025-04-28,2026-01-12
1192,1,2026-01-12,
1192,6,2025-04-28,2026-01-12
1192,5,2026-01-12,
1193,9,2025-05-29,
1195,11,2025-06-26,2026-01-12
1195,5,2026-01-12,
1196,11,2025-06-21,
1198,11,2025-09-19,
1199,6,2025-08-24,2026-01-12
1199,11,2026-01-12,
1199,4,2025-08-24,
1201,8,2025-01-24,
1201,6,2025-01-24,
1202,2,2025-01-31,
1202,11,2025-01-31,
1203,9,2025-11-16,
1203,10,2025-11-16,
1204,3,2025-10-06,2026-01-12
1204,2,2025-10-06,2026-01-12
1206,9,2024-10-27,
1207,10,2025-04-24,
1208,3,2025-08-07,2026-01-12
1208,1,2026-01-12,
1209,10,2025-02-18,
1210,6,2025-01-07,
1211,1,2025-05-18,
1212,9,2024-10-28,
1212,10,2024-10-28,
1213,7,2024-12-27,
1213,11,2024-12-27,
1213,4,2024-12-27,
1214,3,2025-01-31,2026-01-12
1214,4,2025-01-31,
1215,2,2025-04-22,
1216,4,2025-11-01,2026-01-12
1216,10,2026-01-12,
1216,7,2025-11-01,
1217,7,2025-07-06,2026-01-12
1217,4,2025-07-06,
1218,7,2025-07-16,
1220,10,2025-02-12,
1220,11,2025-02-12,
1002,3,2026-01-12,
