order_line_id,order_id,recipe_id,quantity,unit_price_inc_vat
900077,500020,105,2,79.96
900078,500020,107,4,85.34
900079,500020,109,2,70.89
900080,500021,110,2,76.83
900081,500021,102,2,69.21
900082,500021,107,4,70.25
900083,500022,105,2,79.43
900084,500022,104,4,56.15
900085,500022,106,2,63.59
900086,500022,102,4,79.05
900087,500022,108,4,54.94
900088,500023,101,2,94.78
900089,500023,102,4,71.97
900090,500023,106,4,71.45
900091,500023,107,4,56.17
900092,500023,109,4,72.0
900093,500024,101,2,68.89
900094,500024,107,4,54.18
900095,500024,104,2,86.26
900096,500024,109,2,88.31
900097,500025,108,4,65.09
900098,500025,106,2,66.14
900099,500025,107,2,93.41
900100,500026,103,4,79.33
900101,500026,107,4,63.03
900102,500026,106,4,54.85
900103,500027,110,2,75.18
900104,500027,107,2,67.79
900105,500027,104,2,56.52
900106,500027,108,2,73.5
900107,500027,103,2,65.91
900108,500028,101,4,74.45
900109,500028,105,2,76.86
900110,500028,110,4,61.01
900111,500029,109,2,82.69
900112,500029,106,2,57.1
900113,500029,104,2,72.77
900114,500030,110,2,80.33
900115,500030,107,4,55.1
900116,500030,108,2,81.14
900117,500030,102,4,69.61
900118,500030,106,4,83.54
900119,500031,106,2,89.03
900120,500031,109,4,69.91
900121,500031,105,2,89.87
900122,500032,106,2,87.41
900123,500032,102,2,72.66
900124,500032,110,4,86.17
900125,500033,101,4,66.54
900126,500033,107,4,83.99
900127,500033,110,4,83.15
900128,500034,108,4,59.36
900129,500034,105,2,87.53
900130,500034,110,4,55.3
900131,500034,109,4,69.84
900132,500035,108,2,70.05
900133,500035,110,4,83.51
900134,500035,106,2,86.73
900135,500036,110,4,74.3
900136,500036,103,4,68.74
900137,500036,109,4,65.92
900138,500037,104,2,67.39
900139,500037,103,2,80.76
900140,500037,109,2,85.02
900141,500038,104,4,67.77
900142,500038,107,2,90.34
900143,500038,102,2,59.97
900144,500039,106,4,83.62
900145,500039,103,2,75.0
900146,500039,110,4,51.12
900147,500040,109,4,50.69
900148,500040,106,2,65.87
900149,500040,107,2,65.03
900150,500041,102,4,53.4
900151,500041,110,2,63.23
900152,500041,107,4,50.63
900153,500041,108,4,58.99
900154,500041,104,4,67.33
900155,500042,109,2,75.63
900156,500042,107,4,84.05
900157,500042,108,2,85.69
900158,500042,101,2,86.62
900159,500043,110,4,72.2
900160,500043,101,2,73.13
900161,500043,107,4,62.46
900162,500044,106,4,60.45
900163,500044,108,4,74.48
900164,500044,101,2,88.72
900165,500045,108,4,69.92
900166,500045,107,2,63.5
900167,500045,103,2,70.8
900168,500046,110,2,91.3
900169,500046,109,4,85.28
900170,500046,103,2,59.75
900171,500046,108,2,70.1
900172,500047,107,4,77.66
900173,500047,108,4,85.8
900174,500047,104,4,60.81
900175,500048,107,4,85.22
900176,500048,108,2,69.07
900177,500048,106,4,86.79
900178,500049,103,2,81.13
900179,500049,102,4,69.71
900180,500049,110,4,63.75
900181,500049,105,4,80.28
900182,500050,109,2,84.49
900183,500050,110,2,74.26
900184,500050,108,2,78.65
900185,500051,104,2,69.82
900186,500051,103,4,52.9
900187,500051,102,2,90.71
900188,500052,107,2,77.59
900189,500052,109,2,89.45
900190,500052,106,2,94.78
900191,500053,103,2,91.54
900192,500053,108,2,86.01
900193,500053,105,4,64.5
900194,500053,102,4,62.07
900195,500053,106,2,81.27
900196,500054,110,4,79.24
900197,500054,103,2,67.95
900198,500054,109,2,82.85
900199,500055,104,4,61.14
900200,500055,110,2,75.49
900201,500055,106,4,73.51
900202,500056,106,2,92.95
900203,500056,101,4,60.33
900204,500056,107,2,74.01
900205,500056,104,2,75.62
900206,500057,106,4,60.65
900207,500057,101,2,70.75
900208,500057,102,4,57.9
900209,500058,110,4,54.59
900210,500058,109,4,62.33
900211,500058,101,2,87.69
900212,500058,103,4,74.12
900213,500059,110,4,59.69
900214,500059,104,2,71.74
900215,500059,107,4,62.01
900216,500059,109,2,92.25
900217,500059,101,2,79.69
900218,500060,109,4,59.27
900219,500060,110,4,64.77
900220,500060,103,4,81.51
900221,500060,101,4,87.36
900222,500061,107,2,88.84
900223,500061,104,4,73.32
900224,500061,108,2,85.43
900225,500062,104,4,77.17
900226,500062,105,4,69.31
900227,500062,102,4,79.78
900228,500063,102,4,65.6
900229,500063,103,4,79.01
900230,500063,110,2,76.39
900231,500063,106,2,57.57
900232,500063,101,2,57.92
900233,500064,106,4,70.74
900234,500064,110,4,57.73
900235,500064,108,4,65.07
900236,500064,103,2,65.28
900237,500065,104,2,55.24
900238,500065,109,2,56.59
900239,500065,110,2,78.38
900240,500066,102,4,85.04
900241,500066,108,2,62.13
900242,500066,107,4,55.03
900243,500067,110,4,62.58
900244,500067,107,4,63.55
900245,500067,102,2,83.26
900246,500067,103,2,70.49
900247,500068,104,4,68.87
900248,500068,110,2,65.22
900249,500068,106,4,75.78
900250,500068,102,4,85.89
900251,500069,105,4,61.48
900252,500069,110,2,64.71
900253,500069,106,4,80.89
900254,500070,104,2,59.79
900255,500070,105,2,64.89
900256,500070,106,2,77.98
900257,500071,108,4,71.48
900258,500071,109,2,65.18
900259,500071,103,4,61.26
900260,500071,105,2,70.71
900261,500071,104,2,88.75
900262,500072,109,4,67.97
900263,500072,105,2,85.69
900264,500072,107,4,73.41
900265,500072,108,4,82.05
900266,500073,107,4,85.09
900267,500073,102,2,58.54
900268,500073,110,2,74.58
900269,500073,105,4,64.05
900270,500073,104,4,51.67
900271,500074,103,4,87.2
900272,500074,104,4,76.52
900273,500074,102,2,88.68
900274,500075,108,4,81.15
900275,500075,105,4,77.65
900276,500075,104,2,80.63
900277,500075,106,2,84.3
900278,500075,109,2,79.95
900279,500076,105,2,91.9
900280,500076,110,2,57.62
900281,500076,109,2,75.47
900282,500077,104,4,76.0
900283,500077,102,4,51.13
900284,500077,109,2,57.41
900285,500077,103,2,80.75
900286,500078,106,4,56.86
900287,500078,109,2,68.01
900288,500078,104,4,58.96
900289,500078,105,4,87.38
900290,500078,108,2,61.0
900291,500079,102,2,91.91
900292,500079,105,2,92.06
900293,500079,101,4,55.88
900294,500079,104,2,69.77
900295,500079,107,4,53.09
900296,500080,104,4,66.0
900297,500080,106,4,78.86
900298,500080,103,4,53.64
900299,500080,108,4,57.5
900300,500081,109,4,80.16
900301,500081,110,4,81.17
900302,500081,106,2,89.65
900303,500082,106,4,79.39
900304,500082,105,4,62.89
900305,500082,103,2,67.83
900306,500082,109,4,79.03
900307,500083,103,4,54.82
900308,500083,102,2,70.39
900309,500083,108,2,72.04
900310,500084,108,2,76.76
900311,500084,107,2,66.26
900312,500084,110,4,76.7
900313,500084,101,2,63.1
900314,500085,999,4,80.06
900315,500085,103,4,75.24
900316,500085,109,4,81.42
900317,500086,104,4,52.73
900318,500086,101,4,63.14
900319,500086,107,4,68.2
900320,500087,106,4,62.32
900321,500087,105,4,82.15
900322,500087,109,2,63.79
900323,500087,108,2,93.85
900324,500088,107,4,57.7
900325,500088,102,4,69.31
900326,500088,101,2,66.25
900327,500089,103,2,91.67
900328,500089,110,2,92.2
900329,500089,108,4,58.15
900330,500090,103,4,58.34
900331,500090,107,2,83.94
900332,500090,109,4,76.14
900333,500090,108,2,87.16
900334,500090,105,4,87.37
900335,500091,106,2,82.41
900336,500091,107,4,61.54
900337,500091,105,2,61.23
900338,500092,101,2,80.81
900339,500092,106,2,68.42
900340,500092,103,2,67.42
900341,500093,102,4,71.95
900342,500093,107,2,59.96
900343,500093,109,2,91.11
900344,500093,103,4,76.59
900345,500094,107,4,76.71
900346,500094,108,4,75.43
900347,500094,110,4,71.82
900348,500095,107,4,62.17
900349,500095,104,2,81.34
900350,500095,106,2,87.43
900351,500096,101,4,72.37
900352,500096,109,2,84.92
900353,500096,103,4,83.14
900354,500097,103,4,64.17
900355,500097,108,4,64.15
900356,500097,106,4,51.61
900357,500098,106,2,82.81
900358,500098,103,4,87.1
900359,500098,101,2,71.79
900360,500099,101,2,58.03
900361,500099,108,4,86.74
900362,500099,102,4,86.65
900363,500099,110,2,64.7
900364,500100,106,4,81.75
900365,500100,102,2,81.63
900366,500100,105,2,69.44
900367,500101,101,4,53.24
900368,500101,105,4,73.28
900369,500101,106,4,55.94
900370,500101,103,4,76.2
900371,500102,107,2,88.35
900372,500102,110,2,56.19
900373,500102,102,2,64.11
900374,500102,104,4,75.47
900375,500103,999,2,76.91
900376,500103,101,2,79.67
900377,500103,109,2,69.04
900378,500104,104,2,74.59
900379,500104,103,2,81.2
900380,500104,108,4,79.5
900381,500104,101,4,68.35
900382,500104,102,2,71.86
900383,500105,110,2,65.18
900384,500105,104,4,53.87
900385,500105,105,2,77.8
900386,500105,107,4,64.33
900387,500106,104,2,63.99
900388,500106,108,4,66.86
900389,500106,101,2,90.15
900390,500107,101,2,90.66
900391,500107,107,2,80.4
900392,500107,102,4,59.87
900393,500108,102,2,62.57
900394,500108,109,4,53.3
900395,500108,105,2,56.31
900396,500108,103,2,76.41
900397,500108,106,2,73.37
900398,500109,102,4,50.92
900399,500109,105,2,79.85
900400,500109,107,4,59.93
900401,500109,101,4,50.98
900402,500110,110,2,77.58
900403,500110,109,4,50.69
900404,500110,105,4,64.28
900405,500110,107,2,87.73
900406,500111,107,4,81.67
900407,500111,106,4,64.58
900408,500111,105,2,88.04
900409,500112,109,4,69.59
900410,500112,103,2,91.93
900411,500112,106,2,89.53
900412,500113,110,4,83.71
900413,500113,105,2,56.46
900414,500113,102,4,53.33
900415,500113,106,2,76.83
900416,500114,110,4,77.77
900417,500114,104,2,89.19
900418,500114,105,4,85.27
900419,500115,106,2,82.62
900420,500115,109,4,51.19
900421,500115,110,4,83.47
900422,500115,104,4,71.59
900423,500116,104,2,80.88
900424,500116,108,4,58.12
900425,500116,102,4,78.8
900426,500116,109,4,60.42
900427,500116,103,2,66.3
900428,500117,102,2,61.68
900429,500117,104,2,58.83
900430,500117,101,2,77.02
900431,500118,108,4,56.21
900432,500118,110,2,85.07
900433,500118,106,2,73.75
900434,500119,104,4,54.91
900435,500119,106,4,57.03
900436,500119,105,4,79.98
900437,500119,107,2,78.68
900438,500120,106,4,64.0
900439,500120,104,2,59.47
900440,500120,108,2,62.82
900441,500120,103,4,61.05
900442,500121,110,2,94.29
900443,500121,108,2,57.28
900444,500121,105,2,65.14
900445,500122,107,2,64.3
900446,500122,109,4,82.12
900447,500122,106,2,83.26
900448,500122,101,2,90.48
900449,500123,106,4,73.18
900450,500123,103,2,64.64
900451,500123,108,4,58.96
900452,500123,105,2,74.43
900453,500124,107,4,63.58
900454,500124,105,2,67.33
900455,500124,108,2,80.03
900456,500124,109,4,78.7
900457,500125,110,2,92.54
900458,500125,107,4,69.16
900459,500125,108,4,51.79
900460,500126,107,4,60.25
900461,500126,101,4,69.56
900462,500126,104,4,57.33
900463,500127,102,4,85.03
900464,500127,101,2,88.87
900465,500127,104,4,52.63
900466,500128,109,2,93.81
900467,500128,110,4,53.9
900468,500128,105,4,52.73
900469,500128,104,4,80.58
900470,500129,110,2,78.55
900471,500129,107,4,64.13
900472,500129,108,2,91.77
900473,500129,106,4,57.84
900474,500129,102,2,85.33
900475,500130,106,2,77.76
900476,500130,102,4,66.12
900477,500130,104,2,56.23
900478,500130,107,2,58.68
900479,500130,101,2,58.72
900480,500131,107,4,83.26
900481,500131,108,4,70.59
900482,500131,101,2,68.4
900483,500131,104,2,74.82
900484,500131,109,4,56.87
900485,500132,110,2,72.97
900486,500132,107,2,83.97
900487,500132,104,2,73.57
900488,500133,106,4,82.61
900489,500133,101,2,82.01
900490,500133,110,2,78.92
900491,500134,101,2,94.39
900492,500134,102,4,61.43
900493,500134,105,2,76.46
900494,500134,107,2,58.49
900495,500135,110,2,59.43
900496,500135,101,2,90.62
900497,500135,103,4,72.62
900498,500135,104,4,60.12
900499,500136,103,4,66.89
900500,500136,110,4,61.44
900501,500136,105,4,62.86
900502,500136,108,2,94.35
900503,500136,104,4,86.62
900504,500137,101,4,67.14
900505,500137,108,4,53.38
900506,500137,103,4,82.92
900507,500137,106,2,70.69
900508,500137,104,4,79.53
900509,500138,102,4,60.21
900510,500138,105,2,74.47
900511,500138,109,4,82.25
900512,500139,108,2,81.86
900513,500139,102,4,60.54
900514,500139,101,2,72.62
900515,500140,104,2,56.24
900516,500140,105,2,55.54
900517,500140,107,2,85.75
900518,500141,109,2,78.8
900519,500141,101,4,52.97
900520,500141,110,4,71.51
900521,500142,106,2,94.58
900522,500142,104,2,72.54
900523,500142,105,2,91.76
900524,500142,103,4,64.37
900525,500143,101,4,51.17
900526,500143,108,4,61.59
900527,500143,103,4,60.1
900528,500144,101,4,68.2
900529,500144,106,4,50.89
900530,500144,110,4,64.2
900531,500145,102,2,83.87
900532,500145,108,4,52.13
900533,500145,104,2,70.95
900534,500146,103,4,80.28
900535,500146,101,2,61.87
900536,500146,104,4,81.5
900537,500146,109,4,77.71
900538,500147,101,2,61.63
900539,500147,106,4,74.43
900540,500147,104,4,64.2
900541,500147,110,4,70.61
900542,500147,102,2,81.49
900543,500148,110,2,77.25
900544,500148,101,2,85.0
900545,500148,103,4,67.45
900546,500149,107,2,56.19
900547,500149,106,2,58.12
900548,500149,105,2,64.99
900549,500149,110,2,76.86
900550,500149,101,2,60.92
900551,500150,102,2,62.08
900552,500150,109,2,64.06
900553,500150,101,2,73.22
900554,500150,104,2,83.79
900555,500151,101,4,59.18
900556,500151,104,2,91.59
900557,500151,109,2,62.41
900558,500151,103,2,77.15
900559,500152,104,4,72.08
900560,500152,103,2,91.19
900561,500152,105,2,75.38
900562,500153,105,2,67.83
900563,500153,101,2,73.96
900564,500153,106,4,78.89
900565,500154,109,2,78.55
900566,500154,110,2,78.34
900567,500154,102,4,76.68
900568,500155,108,4,70.96
900569,500155,102,4,61.65
900570,500155,107,4,84.97
900571,500155,103,2,62.57
900572,500155,109,2,56.91
900573,500156,999,2,74.96
900574,500156,102,4,81.02
900575,500156,103,2,63.14
900576,500157,110,4,67.45
900577,500157,103,2,90.97
900578,500157,107,4,67.49
900579,500157,106,4,59.13
900580,500158,108,4,81.55
900581,500158,107,4,64.93
900582,500158,109,4,53.2
900583,500159,102,2,91.87
900584,500159,101,2,81.65
900585,500159,106,2,88.44
900586,500160,104,2,79.92
900587,500160,102,2,68.0
900588,500160,109,4,78.57
900589,500161,104,2,91.33
900590,500161,103,4,66.26
900591,500161,106,4,64.9
900592,500161,101,2,92.09
900593,500162,107,2,55.36
900594,500162,102,4,61.83
900595,500162,108,4,72.67
900596,500162,109,2,89.94
900597,500163,105,2,93.51
900598,500163,110,2,65.02
900599,500163,103,2,90.06
900600,500164,101,2,58.32
900601,500164,108,2,61.0
900602,500164,105,2,92.69
900603,500165,101,4,70.99
900604,500165,103,4,66.64
900605,500165,109,2,62.4
900606,500165,105,2,77.64
900607,500166,101,2,75.48
900608,500166,106,2,70.74
900609,500166,107,4,55.57
900610,500167,101,4,57.01
900611,500167,103,2,88.83
900612,500167,109,2,78.44
900613,500167,104,2,69.64
900614,500168,106,4,58.72
900615,500168,107,4,82.45
900616,500168,110,2,63.67
900617,500169,108,2,84.41
900618,500169,107,4,77.55
900619,500169,106,4,66.45
900620,500169,110,2,80.84
900621,500169,109,2,89.74
900622,500170,109,4,68.73
900623,500170,104,2,73.57
900624,500170,103,4,83.87
900625,500170,108,2,73.4
900626,500171,103,2,68.08
900627,500171,104,2,64.22
900628,500171,107,2,56.84
900629,500171,105,4,84.65
900630,500171,108,4,72.02
900631,500172,107,4,77.29
900632,500172,108,2,61.09
900633,500172,109,2,90.27
900634,500173,101,2,68.57
900635,500173,110,4,81.54
900636,500173,105,4,86.29
900637,500173,107,4,85.81
900638,500174,104,4,69.14
900639,500174,103,2,70.49
900640,500174,106,2,59.54
900641,500175,109,2,73.6
900642,500175,102,2,70.54
900643,500175,110,4,63.96
900644,500176,101,2,90.06
900645,500176,104,4,77.35
900646,500176,103,4,52.66
900647,500176,102,4,80.51
900648,500177,106,4,77.94
900649,500177,110,4,73.72
900650,500177,107,4,55.12
900651,500178,106,2,77.25
900652,500178,108,2,60.41
900653,500178,105,2,74.53
900654,500178,101,2,84.57
900655,500178,104,4,57.0
900656,500179,106,4,74.14
900657,500179,101,4,54.15
900658,500179,108,4,64.82
900659,500179,102,2,74.55
900660,500180,104,2,79.36
900661,500180,103,2,59.1
900662,500180,102,4,73.28
900663,500181,108,2,60.27
900664,500181,107,4,83.78
900665,500181,101,2,60.62
900666,500182,104,4,69.36
900667,500182,107,4,71.85
900668,500182,101,2,89.16
900669,500182,108,2,55.28
900670,500182,103,2,87.16
900671,500183,101,4,54.32
900672,500183,103,2,77.67
900673,500183,107,2,82.39
900674,500184,109,4,86.74
900675,500184,106,4,85.17
900676,500184,105,2,79.96
900677,500184,103,2,85.46
900678,500184,104,4,67.04
900679,500185,101,2,89.5
900680,500185,104,4,65.76
900681,500185,103,4,61.48
900682,500185,107,4,58.27
900683,500185,105,2,80.0
900684,500186,108,4,74.34
900685,500186,109,2,66.08
900686,500186,106,4,61.53
900687,500186,107,4,79.64
900688,500187,101,2,74.25
900689,500187,107,4,69.55
900690,500187,104,4,75.08
900691,500188,106,4,66.36
900692,500188,109,4,64.97
900693,500188,105,4,59.45
900694,500188,104,2,59.13
900695,500189,107,2,64.78
900696,500189,104,4,83.41
900697,500189,103,4,74.38
900698,500190,105,4,80.38
900699,500190,103,4,79.64
900700,500190,109,2,70.84
900701,500191,108,2,82.75
900702,500191,101,2,58.58
900703,500191,106,4,78.51
900704,500192,107,2,69.36
900705,500192,108,4,68.66
900706,500192,105,4,56.43
900707,500192,104,4,71.58
900708,500192,110,2,83.47
900709,500193,110,4,70.82
900710,500193,103,2,79.4
900711,500193,107,4,70.75
900712,500194,110,4,65.7
900713,500194,101,2,83.58
900714,500194,109,2,63.69
900715,500195,110,2,78.69
900716,500195,104,2,92.09
900717,500195,107,4,74.51
900718,500195,108,4,72.04
900719,500196,110,2,74.6
900720,500196,105,2,65.94
900721,500196,109,2,74.4
900722,500196,101,2,65.01
900723,500197,105,4,77.64
900724,500197,102,2,92.7
900725,500197,103,4,58.09
900726,500197,107,4,72.92
900727,500198,102,4,66.66
900728,500198,107,2,56.21
900729,500198,109,4,82.02
900730,500199,101,4,85.41
900731,500199,105,4,64.97
900732,500199,110,4,76.26
900733,500200,102,4,77.63
900734,500200,108,2,72.89
900735,500200,106,2,57.25
900736,500201,108,2,89.12
900737,500201,106,4,83.08
900738,500201,102,4,62.69
900739,500202,104,4,51.57
900740,500202,110,4,86.34
900741,500202,102,4,79.77
900742,500202,108,4,74.43
900743,500203,106,4,67.6
900744,500203,103,4,63.59
900745,500203,105,2,68.33
900746,500204,103,4,61.99
900747,500204,108,2,65.39
900748,500204,109,2,73.19
900749,500205,108,2,90.0
900750,500205,103,2,89.45
900751,500205,110,4,70.88
900752,500205,107,2,55.68
900753,500205,109,2,68.46
900754,500206,107,2,79.97
900755,500206,106,2,94.51
900756,500206,102,4,79.28
900757,500206,104,4,62.24
900758,500206,108,4,85.14
900759,500207,101,4,60.05
900760,500207,105,2,89.74
900761,500207,109,2,65.9
900762,500207,103,2,61.33
900763,500208,999,2,55.29
900764,500208,110,4,62.17
900765,500208,104,4,61.94
900766,500208,107,2,94.16
900767,500209,108,2,94.77
900768,500209,105,2,90.02
900769,500209,109,2,60.32
900770,500210,103,2,76.21
900771,500210,110,4,69.22
900772,500210,109,2,92.3
900773,500211,106,2,86.19
900774,500211,105,4,50.85
900775,500211,102,4,83.34
900776,500212,108,2,94.1
900777,500212,104,4,81.53
900778,500212,110,2,81.74
900779,500213,108,2,86.45
900780,500213,103,4,84.18
900781,500213,101,4,54.53
900782,500214,101,4,84.12
900783,500214,104,2,56.68
900784,500214,102,4,61.56
900785,500214,109,4,79.32
900786,500214,108,4,76.5
900787,500215,110,4,75.19
900788,500215,108,4,84.66
900789,500215,101,4,82.94
900790,500216,109,4,74.17
900791,500216,106,2,89.81
900792,500216,102,2,75.56
900793,500217,109,4,70.34
900794,500217,105,2,57.07
900795,500217,101,2,63.07
900796,500217,106,2,56.32
900797,500218,101,4,70.43
900798,500218,107,4,64.43
900799,500218,110,2,93.26
900800,500219,102,2,86.16
900801,500219,108,2,83.68
900802,500219,101,2,61.73
900803,500220,101,4,82.44
900804,500220,107,2,59.27
900805,500220,106,4,75.8
900806,500221,108,4,51.4
900807,500221,101,2,89.67
900808,500221,110,4,59.21
900809,500222,108,2,72.96
900810,500222,105,2,90.18
900811,500222,101,2,91.19
900812,500222,109,4,61.59
900813,500223,104,2,94.23
900814,500223,105,2,64.57
900815,500223,102,2,71.14
900816,500224,105,2,82.89
900817,500224,106,2,94.4
900818,500224,108,2,94.36
900819,500224,103,2,91.18
900820,500225,109,4,68.68
900821,500225,110,4,82.42
900822,500225,104,2,72.63
900823,500226,105,4,79.34
900824,500226,108,4,60.71
900825,500226,107,4,67.22
900826,500227,103,4,86.84
900827,500227,101,2,61.03
900828,500227,106,2,91.27
900829,500228,109,2,70.22
900830,500228,105,4,85.04
900831,500228,110,2,55.91
900832,500228,102,2,78.61
900833,500229,103,4,84.57
900834,500229,110,2,61.79
900835,500229,108,2,84.51
900836,500230,101,2,92.61
900837,500230,107,4,72.71
900838,500230,108,4,53.59
900839,500230,103,2,55.72
900840,500230,109,4,82.07
900841,500231,108,2,87.98
900842,500231,109,2,86.51
900843,500231,107,2,89.3
900844,500232,103,2,88.48
900845,500232,106,2,60.25
900846,500232,102,2,75.01
900847,500233,101,4,84.56
900848,500233,104,4,77.12
900849,500233,110,4,62.74
900850,500233,103,4,70.81
900851,500234,105,2,69.34
900852,500234,107,2,90.83
900853,500234,106,4,83.56
900854,500234,103,4,74.36
900855,500235,101,2,79.02
900856,500235,103,4,63.68
900857,500235,108,4,86.23
900858,500236,104,2,79.61
900859,500236,106,2,91.11
900860,500236,105,2,75.39
900861,500236,108,4,51.09
900862,500236,109,4,76.04
900863,500237,105,2,82.6
900864,500237,109,4,65.59
900865,500237,110,4,56.0
900866,500237,106,4,59.13
900867,500238,102,4,83.03
900868,500238,101,2,59.57
900869,500238,110,2,60.69
900870,500238,106,2,74.55
900871,500239,102,2,70.55
900872,500239,108,4,76.72
900873,500239,109,2,65.36
900874,500239,110,4,80.02
900875,500240,105,4,66.45
900876,500240,110,4,53.58
900877,500240,103,2,75.38
900878,500241,107,2,93.85
900879,500241,105,4,62.76
900880,500241,104,4,77.59
900881,500242,101,4,54.82
900882,500242,106,4,71.55
900883,500242,107,4,68.74
900884,500243,105,4,53.91
900885,500243,102,4,66.8
900886,500243,106,2,91.82
900887,500244,104,2,64.29
900888,500244,102,2,58.76
900889,500244,106,4,81.5
900890,500244,109,4,70.91
900891,500245,109,2,74.7
900892,500245,104,4,60.96
900893,500245,105,2,68.8
900894,500245,106,4,57.08
900895,500246,110,2,93.16
900896,500246,104,2,91.23
900897,500246,107,2,55.54
900898,500246,109,4,57.01
900899,500247,110,2,61.95
900900,500247,102,2,79.29
900901,500247,105,4,78.72
900902,500248,110,2,64.73
900903,500248,103,4,82.07
900904,500248,101,4,52.23
900905,500248,102,2,87.51
900906,500249,106,4,82.92
900907,500249,105,4,68.51
900908,500249,102,2,88.89
900909,500250,105,4,76.1
900910,500250,109,2,92.22
900911,500250,106,4,56.42
900912,500250,101,2,94.14
900913,500251,102,4,70.46
900914,500251,108,2,91.9
900915,500251,105,2,55.17
900916,500252,105,4,56.61
900917,500252,102,2,75.29
900918,500252,101,2,64.15
900919,500252,108,4,82.0
900920,500253,107,4,76.12
900921,500253,104,2,93.51
900922,500253,102,2,55.4
900923,500254,102,2,92.17
900924,500254,107,2,76.27
900925,500254,105,4,58.51
900926,500255,104,4,76.42
900927,500255,102,4,59.18
900928,500255,110,4,50.95
900929,500255,109,4,77.98
900930,500256,109,2,91.0
900931,500256,108,4,78.6
900932,500256,105,4,57.62
900933,500257,104,4,54.56
900934,500257,109,2,63.3
900935,500257,106,2,84.73
900936,500258,104,2,76.6
900937,500258,106,4,58.99
900938,500258,107,4,63.66
900939,500259,106,2,73.84
900940,500259,103,4,53.19
900941,500259,101,4,61.12
900942,500260,101,2,56.34
900943,500260,104,2,67.96
900944,500260,109,4,83.22
900945,500260,110,2,75.42
900946,500261,102,2,62.67
900947,500261,104,4,67.26
900948,500261,106,4,68.39
900949,500261,107,2,80.52
900950,500262,108,4,60.98
900951,500262,104,4,79.44
900952,500262,103,4,64.0
900953,500262,110,2,66.39
900954,500262,102,2,65.15
900955,500263,110,4,61.03
900956,500263,101,4,79.62
900957,500263,103,2,79.67
900958,500264,108,2,94.44
900959,500264,102,4,73.29
900960,500264,101,2,60.4
900961,500265,107,4,55.36
900962,500265,103,4,60.86
900963,500265,110,4,64.52
900964,500265,104,4,61.82
900965,500266,105,4,67.78
900966,500266,106,4,84.7
900967,500266,108,2,78.72
900968,500267,104,2,73.17
900969,500267,103,2,60.57
900970,500267,108,4,75.03
900971,500268,101,2,92.65
900972,500268,107,4,60.22
900973,500268,103,4,86.52
900974,500269,103,2,87.58
900975,500269,109,2,88.34
900976,500269,102,4,60.21
900977,500269,108,2,59.8
900978,500270,110,2,76.67
900979,500270,101,4,54.25
900980,500270,104,4,81.18
900981,500271,105,2,84.62
900982,500271,102,2,80.27
900983,500271,108,4,63.37
900984,500271,106,4,51.58
900985,500271,104,4,79.2
900986,500272,104,4,73.53
900987,500272,106,4,52.55
900988,500272,109,4,81.13
900989,500272,107,2,77.39
900990,500273,105,4,82.08
900991,500273,108,2,67.63
900992,500273,103,2,75.84
900993,500274,105,2,89.66
900994,500274,107,2,89.2
900995,500274,104,2,78.15
